saved_at,experiment_name,experiment_type,record_status,error_message,prompt,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s,detail_json_file,extra_json
2026-04-18T14:16:03.365462,baseline_p1_r1,baseline,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag,4.510210990905762,8.81759524345398,48.94133257865906,8.81759524345398,40.12373733520508,10.29839038848877,2304.0,2474.95,True,True,True,74.6643488407135,baseline_p1_r1_20260418_141603.json,"{""prompt_index"": 1, ""repeat_index"": 1, ""enable_rag"": true, ""rag_type"": ""graphrag""}"
2026-04-18T14:16:46.382939,ablation_no_rag_p1_r1,ablation,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",False,none,0.0,0.0,20.822214365005493,0.0,20.822214365005493,10.154962539672852,2448.0,18.2,True,True,True,41.011372566223145,ablation_no_rag_p1_r1_20260418_141646.json,"{""prompt_index"": 1, ""repeat_index"": 1, ""config_name"": ""no_rag"", ""display_name"": ""无RAG (仅LLM)"", ""enable_rag"": false, ""rag_type"": ""none""}"
2026-04-18T14:18:14.279761,ablation_text_rag_p1_r1,ablation,failed,未找到顶层JSON结构,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,84.89116382598877,ablation_text_rag_p1_r1_20260418_141814.json,"{""prompt_index"": 1, ""repeat_index"": 1, ""config_name"": ""text_rag"", ""display_name"": ""Text RAG (GraphRAG预处理文本单元)"", ""enable_rag"": true, ""rag_type"": ""rag""}"
2026-04-18T14:19:58.022762,ablation_raw_text_rag_p1_r1,ablation,failed,"JSON解析失败：Expecting ',' delimiter: line 22 column 4 (char 617)","请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,raw_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,100.739994764328,ablation_raw_text_rag_p1_r1_20260418_141958.json,"{""prompt_index"": 1, ""repeat_index"": 1, ""config_name"": ""raw_text_rag"", ""display_name"": ""Raw Text RAG (原始文本)"", ""enable_rag"": true, ""rag_type"": ""raw_rag""}"
2026-04-18T14:21:20.477993,ablation_graphrag_p1_r1,ablation,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag,5.172814846038818,28.44000506401062,53.070762395858765,28.44000506401062,24.630757331848145,10.199804306030273,1836.0,2022.39,True,True,True,79.45292377471924,ablation_graphrag_p1_r1_20260418_142120.json,"{""prompt_index"": 1, ""repeat_index"": 1, ""config_name"": ""graphrag"", ""display_name"": ""GraphRAG (知识图谱)"", ""enable_rag"": true, ""rag_type"": ""graphrag""}"
2026-04-18T14:22:28.972512,robustness_uav.battery_drain_rate_-50%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_-50%,4.517115592956543,17.955262660980225,38.76733112335205,17.955262660980225,20.812068462371826,10.156145095825195,2448.0,17.59,True,True,True,65.47913193702698,robustness_uav.battery_drain_rate_-50_20260418_142228.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": -0.5, ""perturbed_value"": 0.25}"
2026-04-18T14:23:25.318132,robustness_uav.battery_drain_rate_-30%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_-30%,5.152281999588013,10.116026639938354,27.981157541275024,10.116026639938354,17.86513090133667,10.183663368225098,2664.0,2352.79,True,True,True,54.34173059463501,robustness_uav.battery_drain_rate_-30_20260418_142325.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": -0.3, ""perturbed_value"": 0.35}"
2026-04-18T14:24:45.023371,robustness_uav.battery_drain_rate_-10%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_-10%,5.164656162261963,30.845848083496094,52.35794234275818,30.845848083496094,21.512094259262085,10.148322582244873,2448.0,0.0,True,True,True,77.70171785354614,robustness_uav.battery_drain_rate_-10_20260418_142445.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": -0.1, ""perturbed_value"": 0.45}"
2026-04-18T14:26:09.192083,robustness_uav.battery_drain_rate_+0%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_+0%,5.168196201324463,23.569979667663574,52.778961181640625,23.569979667663574,29.20898151397705,10.180323123931885,2448.0,16.1,True,True,True,82.16583061218262,robustness_uav.battery_drain_rate__0_20260418_142609.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": 0, ""perturbed_value"": 0.5}"
2026-04-18T14:27:13.303118,robustness_uav.battery_drain_rate_+10%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_+10%,5.146331548690796,9.966913938522339,35.763267993927,9.966913938522339,25.796354055404663,10.155692100524902,2664.0,2357.73,True,True,True,62.10882043838501,robustness_uav.battery_drain_rate__10_20260418_142713.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": 0.1, ""perturbed_value"": 0.55}"
