saved_at,experiment_name,experiment_type,record_status,error_message,prompt,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s,detail_json_file,extra_json
2026-04-20T14:58:00.912869,comparison_baseline_p1_r1,comparison,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag,3.7488396167755127,15.843687772750854,40.203259229660034,15.843687772750854,24.35957145690918,10.31991958618164,2700.0,702.05,True,True,True,66.45383667945862,comparison_baseline_p1_r1_20260420_145800.json,"{""prompt_index"": 1, ""repeat_index"": 1, ""config_name"": ""baseline"", ""display_name"": ""基线方案 (GraphRAG + LLM)"", ""algorithm"": ""standard"", ""config"": {""name"": ""baseline"", ""display_name"": ""基线方案 (GraphRAG + LLM)"", ""enable_rag"": true, ""rag_type"": ""graphrag"", ""algorithm"": ""standard"", ""algorithm_params"": {""candidate_top_k"": 3}}}"
2026-04-20T14:59:24.991039,comparison_ACO_p1_r1,comparison,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_aco_dispatch,4.988171339035034,31.124670267105103,31.124670267105103,31.124670267105103,0.0,10.194058418273926,2124.0,1007.18,True,True,True,82.07456707954407,comparison_ACO_p1_r1_20260420_145924.json,"{""prompt_index"": 1, ""repeat_index"": 1, ""config_name"": ""ACO"", ""display_name"": ""蚁群算法 (Ant Colony Optimization)"", ""algorithm"": ""ACO"", ""config"": {""name"": ""ACO"", ""display_name"": ""蚁群算法 (Ant Colony Optimization)"", ""enable_rag"": true, ""rag_type"": ""graphrag"", ""algorithm"": ""ACO"", ""algorithm_params"": {""candidate_top_k"": 3, ""num_ants"": 20, ""alpha"": 1.0, ""beta"": 2.0, ""rho"": 0.5, ""max_iterations"": 50}}}"
2026-04-20T15:00:45.034116,comparison_GA_p1_r1,comparison,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_ga_dispatch,4.6494245529174805,23.036401510238647,23.036401510238647,23.036401510238647,0.0,10.17636775970459,2124.0,1005.11,True,True,True,78.04102373123169,comparison_GA_p1_r1_20260420_150045.json,"{""prompt_index"": 1, ""repeat_index"": 1, ""config_name"": ""GA"", ""display_name"": ""遗传算法 (Genetic Algorithm)"", ""algorithm"": ""GA"", ""config"": {""name"": ""GA"", ""display_name"": ""遗传算法 (Genetic Algorithm)"", ""enable_rag"": true, ""rag_type"": ""graphrag"", ""algorithm"": ""GA"", ""algorithm_params"": {""candidate_top_k"": 3, ""population_size"": 50, ""crossover_rate"": 0.8, ""mutation_rate"": 0.1, ""elite_size"": 5, ""max_iterations"": 50}}}"
2026-04-20T15:06:01.586662,robustness_uav.battery_drain_rate_-50%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_-50%,4.502333402633667,8.81721019744873,48.910513401031494,8.81721019744873,40.093303203582764,10.213911533355713,2304.0,2469.58,True,True,True,75.61038827896118,robustness_uav.battery_drain_rate_-50_20260420_150601.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": -0.5, ""perturbed_value"": 0.25}"
2026-04-20T15:07:21.764849,robustness_uav.battery_drain_rate_-30%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_-30%,5.159485101699829,19.58773899078369,49.80730128288269,19.58773899078369,30.219562292099,10.18810510635376,2448.0,34.79,True,True,True,78.17413187026978,robustness_uav.battery_drain_rate_-30_20260420_150721.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": -0.3, ""perturbed_value"": 0.35}"
2026-04-20T15:08:30.890631,robustness_uav.battery_drain_rate_-10%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_-10%,5.1601433753967285,9.803288698196411,40.78508186340332,9.803288698196411,30.98179316520691,10.218515396118164,2448.0,36.33,True,True,True,67.12269926071167,robustness_uav.battery_drain_rate_-10_20260420_150830.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": -0.1, ""perturbed_value"": 0.45}"
2026-04-20T15:09:57.226368,robustness_uav.battery_drain_rate_+0%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_+0%,5.161824941635132,10.48167085647583,53.99148201942444,10.48167085647583,43.50981116294861,10.115635395050049,2880.0,1371.92,True,True,True,84.33210802078247,robustness_uav.battery_drain_rate__0_20260420_150957.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": 0, ""perturbed_value"": 0.5}"
2026-04-20T15:11:11.914667,robustness_uav.battery_drain_rate_+10%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_+10%,4.534120798110962,16.6388521194458,46.96839118003845,16.6388521194458,30.32953906059265,10.114166736602783,2520.0,508.34,True,True,True,72.68496966362,robustness_uav.battery_drain_rate__10_20260420_151111.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": 0.1, ""perturbed_value"": 0.55}"
2026-04-20T15:12:21.584155,robustness_uav.battery_drain_rate_+30%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_+30%,5.164480447769165,14.03405237197876,37.289090394973755,14.03405237197876,23.255038022994995,10.164852142333984,3060.0,1867.9,True,True,True,67.66600847244263,robustness_uav.battery_drain_rate__30_20260420_151221.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": 0.3, ""perturbed_value"": 0.65}"
2026-04-20T15:13:48.169405,robustness_uav.battery_drain_rate_+50%,robustness,completed,,"请协调仓储机器人、卡车和无人机完成干粉灭火器的多阶段配送任务：从深圳福田区购物公园（114.054706,22.534678）配送到深圳光明区深理工大学医院(113.928589,22.769395)",True,graphrag_perturbed_+50%,5.145832300186157,8.177055835723877,58.25217080116272,8.177055835723877,50.07511496543884,10.160248279571533,2304.0,2475.17,True,True,True,84.58185768127441,robustness_uav.battery_drain_rate__50_20260420_151348.json,"{""agent_type"": ""uav"", ""param_name"": ""battery_drain_rate"", ""param_key"": ""uav.battery_drain_rate"", ""base_value"": 0.5, ""variation"": 0.5, ""perturbed_value"": 0.75}"
